Doctor_Name,Specialization,Available_Timings,Available_Date,Hospital_Name,Location,Department_Size,Patient_Influx,Doctor_Ratio,Doctor_Availability
Dr. Swati Desai,Dermatology,14,2024-10-01,City Hospital,Kolkata,46,404,0.69,0
Dr. Anil Mehra,Pediatrics,11,2024-10-02,City Hospital,Mumbai,54,373,0.87,0
Dr. Ravi Kumar,Dermatology,9,2024-10-03,Govt Health Center,New Delhi,61,96,0.54,0
Dr. Swati Desai,Pediatrics,12,2024-10-04,City Hospital,Kolkata,57,143,1.97,1
Dr. Swati Desai,Pediatrics,10,2024-10-05,Metro Hospital,Kolkata,71,231,0.85,0
Dr. Anil Mehra,Dermatology,16,2024-10-06,Govt Health Center,Chennai,87,491,1.05,0
Dr. Ravi Kumar,Orthopedics,13,2024-10-07,Metro Hospital,Chennai,60,239,0.91,0
Dr. Ravi Kumar,Pediatrics,8,2024-10-08,Metro Hospital,Mumbai,13,100,0.56,0
Dr. Swati Desai,Dermatology,10,2024-10-09,Metro Hospital,Kolkata,95,255,0.89,0
Dr. Rohit Verma,Cardiology,11,2024-10-10,Govt Health Center,Chennai,65,353,0.65,0
Dr. Swati Desai,Dermatology,16,2024-10-11,City Hospital,Mumbai,84,460,1.09,0
Dr. Swati Desai,Cardiology,13,2024-10-12,Metro Hospital,New Delhi,43,382,1.95,0
Dr. Swati Desai,Pediatrics,11,2024-10-13,City Hospital,Chennai,54,488,1.55,0
Dr. Swati Desai,Dermatology,8,2024-10-14,City Hospital,Mumbai,25,174,1.56,1
Dr. Anil Mehra,Dermatology,15,2024-10-15,Metro Hospital,Chennai,18,261,1.18,1
Dr. Ravi Kumar,Cardiology,9,2024-10-16,City Hospital,New Delhi,89,418,1.72,0
Dr. Anil Mehra,Dermatology,15,2024-10-17,Govt Health Center,New Delhi,25,482,1.86,0
Dr. Anil Mehra,Dermatology,13,2024-10-18,Govt Health Center,Chennai,40,457,1.94,0
Dr. Anil Mehra,Pediatrics,15,2024-10-19,City Hospital,New Delhi,22,315,0.65,0
Dr. Swati Desai,Dermatology,13,2024-10-20,City Hospital,Mumbai,14,184,1.82,1
Dr. Rohit Verma,Orthopedics,12,2024-10-21,Govt Health Center,Chennai,56,421,0.84,0
Dr. Ravi Kumar,Cardiology,12,2024-10-22,City Hospital,Chennai,48,322,1.1,0
Dr. Rohit Verma,Dermatology,17,2024-10-23,City Hospital,New Delhi,27,327,1.02,0
Dr. Anil Mehra,Cardiology,17,2024-10-24,City Hospital,Mumbai,29,364,1.51,0
Dr. Anil Mehra,Cardiology,15,2024-10-25,City Hospital,Chennai,11,349,1.4,0
Dr. Rohit Verma,Cardiology,14,2024-10-26,Metro Hospital,Chennai,49,316,0.66,0
Dr. Rohit Verma,Dermatology,15,2024-10-27,City Hospital,New Delhi,39,347,1.67,0
Dr. Rohit Verma,Dermatology,15,2024-10-28,Govt Health Center,New Delhi,19,328,1.16,0
Dr. Anil Mehra,Cardiology,14,2024-10-29,Metro Hospital,Mumbai,73,423,0.5,0
Dr. Anil Mehra,Orthopedics,9,2024-10-30,Metro Hospital,Mumbai,51,493,1.12,0
Dr. Ravi Kumar,Cardiology,16,2024-10-31,Govt Health Center,New Delhi,84,263,1.27,1
Dr. Ravi Kumar,Orthopedics,14,2024-11-01,City Hospital,Mumbai,62,111,0.6,0
Dr. Anil Mehra,Cardiology,13,2024-11-02,Metro Hospital,Kolkata,62,416,0.73,0
Dr. Rohit Verma,Pediatrics,16,2024-11-03,Metro Hospital,Kolkata,49,103,1.99,1
Dr. Rohit Verma,Cardiology,8,2024-11-04,City Hospital,New Delhi,25,387,1.81,0
Dr. Ravi Kumar,Cardiology,9,2024-11-05,City Hospital,Chennai,57,424,0.7,0
Dr. Anil Mehra,Dermatology,8,2024-11-06,Govt Health Center,New Delhi,70,414,1.37,0
Dr. Ravi Kumar,Orthopedics,17,2024-11-07,Metro Hospital,New Delhi,90,161,1.07,1
Dr. Ravi Kumar,Pediatrics,10,2024-11-08,City Hospital,New Delhi,47,318,1.32,0
